MovieId,ImdbId,Director,Cast
1,114709,John Lasseter,Tom Hanks|Tim Allen|Don Rickles|See full cast &amp; crew|
105,112579,Clint Eastwood,Clint Eastwood|Meryl Streep|Annie Corley|See full cast &amp; crew|
106,110251,Doris Dörrie,Maria Schrader|Pierre Sanoussi-Bliss|Michael von Au|See full cast &amp; crew|
107,117110,Brian Henson,Tim Curry|Billy Connolly|Jennifer Saunders|See full cast &amp; crew|
108,112646,Robert Leacock,Christy Turlington|Azzedine Alaïa|Giorgio Armani|See full cast &amp; crew|
110,112573,Mel Gibson,Mel Gibson|Sophie Marceau|Patrick McGoohan|See full cast &amp; crew|
111,75314,Martin Scorsese,Robert De Niro|Jodie Foster|Cybill Shepherd|See full cast &amp; crew|
112,113326,Stanley Tong,Jackie Chan|Anita Mui|Françoise Yip|See full cast &amp; crew|
113,115645,Barbet Schroeder,Meryl Streep|Liam Neeson|Edward Furlong|See full cast &amp; crew|
116,112373,Jon Blair,Kenneth Branagh|Glenn Close|Janny Brandes-Brilslijper|See full cast &amp; crew|
117,115033,Benjamin Ross,Hugh O'Conor|Antony Sher|Tobias Arnold|See full cast &amp; crew|
118,116606,Eric Schaeffer,Sarah Jessica Parker|Eric Schaeffer|Ben Stiller|See full cast &amp; crew|
119,114536,Andrew Davis,Andy Garcia|Alan Arkin|Rachel Ticotin|See full cast &amp; crew|
121,106473,John N. Smith,Henry Czerny|Johnny Morina|Brian Dooley|See full cast &amp; crew|
122,103859,Reginald Hudlin,Eddie Murphy|Robin Givens|Halle Berry|See full cast &amp; crew|
123,109424,Kar-Wai Wong,Brigitte Lin|Takeshi Kaneshiro|Tony Chiu-Wai Leung|See full cast &amp; crew|
125,116324,David O. Russell,Ben Stiller|Patricia Arquette|Téa Leoni|See full cast &amp; crew|
126,110647,Peter MacDonald,Jason James Richter|Melody Kay|Jack Black|See full cast &amp; crew|
128,110217,Michel Negroponte,Maggie Cogan|Katina Pendleton|
129,114131,Bryan Gordon,Josh Charles|Anne Heche|John Goodman|See full cast &amp; crew|
132,113451,William Friedkin,David Caruso|Linda Fiorentino|Chazz Palminteri|See full cast &amp; crew|
135,116130,David S. Ward,Kelsey Grammer|Lauren Holly|Rob Schneider|See full cast &amp; crew|
137,113756,Dirk Shafer,Vivian Paxton|Claudette Sutherland|Michael Ornstein|See full cast &amp; crew|
140,118055,Jon Avnet,Robert Redford|Michelle Pfeiffer|Stockard Channing|See full cast &amp; crew|
141,115685,Mike Nichols,Robin Williams|Nathan Lane|Gene Hackman|See full cast &amp; crew|
144,112585,Edward Burns,Jack Mulcahy|Michael McGlone|Edward Burns|See full cast &amp; crew|
145,112442,Michael Bay,Will Smith|Martin Lawrence|Lisa Boyle|See full cast &amp; crew|
146,112342,Christopher Cain,Stephen Lang|Ryan Slater|Yi Ding|See full cast &amp; crew|
147,112461,Scott Kalvert,Leonardo DiCaprio|Lorraine Bracco|Marilyn Sokol|See full cast &amp; crew|
148,112427,Mike Newell,Hugh Grant|Alan Rickman|Georgina Cates|See full cast &amp; crew|
149,109093,Hal Hartley,Isabelle Huppert|Martin Donovan|Elina Löwensohn|See full cast &amp; crew|
150,112384,Ron Howard,Tom Hanks|Bill Paxton|Kevin Bacon|See full cast &amp; crew|
151,114287,Michael Caton-Jones,Liam Neeson|Jessica Lange|John Hurt|See full cast &amp; crew|
152,112288,Abel Ferrara,Lili Taylor|Christopher Walken|Annabella Sciorra|See full cast &amp; crew|
153,112462,Joel Schumacher,Val Kilmer|Tommy Lee Jones|Jim Carrey|See full cast &amp; crew|
154,61395,Luis Buñuel,Catherine Deneuve|Jean Sorel|Michel Piccoli|See full cast &amp; crew|
155,112495,John Boorman,Patricia Arquette|U Aung Ko|Frances McDormand|See full cast &amp; crew|
156,112541,Paul Auster,Harvey Keitel|Lou Reed|Michael J. Fox|See full cast &amp; crew|
157,109370,Michael Moore,John Candy|Alan Alda|Rhea Perlman|See full cast &amp; crew|
158,112642,Brad Silberling,Bill Pullman|Christina Ricci|Cathy Moriarty|See full cast &amp; crew|
159,112688,Spike Lee,Harvey Keitel|John Turturro|Delroy Lindo|See full cast &amp; crew|
160,112715,Frank Marshall,Laura Linney|Tim Curry|Dylan Walsh|See full cast &amp; crew|
161,112740,Tony Scott,Gene Hackman|Denzel Washington|Matt Craven|See full cast &amp; crew|
162,109508,Terry Zwigoff,Robert Crumb|Aline Kominsky-Crumb|Charles Crumb|See full cast &amp; crew|
163,112851,Robert Rodriguez,Antonio Banderas|Salma Hayek|Joaquim de Almeida|See full cast &amp; crew|
164,112857,Carl Franklin,Denzel Washington|Tom Sizemore|Jennifer Beals|See full cast &amp; crew|
165,112864,John McTiernan,Bruce Willis|Jeremy Irons|Samuel L. Jackson|See full cast &amp; crew|
166,112887,Gregg Araki,James Duval|Rose McGowan|Johnathon Schaech|See full cast &amp; crew|
168,113071,Jerry Zucker,Sean Connery|Richard Gere|Julia Ormond|See full cast &amp; crew|
169,113114,Dwight H. Little,Jason James Richter|Michael Madsen|Francis Capra|See full cast &amp; crew|
170,113243,Iain Softley,Jonny Lee Miller|Angelina Jolie|Jesse Bradford|See full cast &amp; crew|
171,113464,Christopher Ashley,Steven Weber|Michael T. Weiss|Peter Jacobson|See full cast &amp; crew|
172,113481,Robert Longo,Keanu Reeves|Dolph Lundgren|Dina Meyer|See full cast &amp; crew|
173,113492,Danny Cannon,Sylvester Stallone|Armand Assante|Rob Schneider|See full cast &amp; crew|
174,113500,John Fortenberry,Pauly Shore|Tia Carrere|Stanley Tucci|See full cast &amp; crew|
175,113540,Larry Clark,Leo Fitzpatrick|Justin Pierce|Chloë Sevigny|See full cast &amp; crew|
176,113677,Tom DiCillo,Steve Buscemi|Catherine Keener|Dermot Mulroney|See full cast &amp; crew|
177,113690,Clive Barker,Scott Bakula|Kevin J. O'Connor|J. Trevor Edmond|See full cast &amp; crew|
178,107447,Denys Arcand,Thomas Gibson|Ruth Marshall|Cameron Bancroft|See full cast &amp; crew|
179,113729,Antonia Bird,Chris O'Donnell|Drew Barrymore|Matthew Lillard|See full cast &amp; crew|
180,113749,Kevin Smith,Shannen Doherty|Jeremy London|Jason Lee|See full cast &amp; crew|
181,113820,Bryan Spicer,Karan Ashley|Johnny Yong Bosch|Steve Cardenas|See full cast &amp; crew|
183,110604,Anthony Waller,Marina Zudina|Fay Ripley|Evan Richards|See full cast &amp; crew|
184,110620,Michael Almereyda,Elina Löwensohn|Peter Fonda|Nic Ratner|See full cast &amp; crew|
185,113957,Irwin Winkler,Sandra Bullock|Jeremy Northam|Dennis Miller|See full cast &amp; crew|
186,113986,Chris Columbus,Hugh Grant|Julianne Moore|Tom Arnold|See full cast &amp; crew|
187,114095,Daisy von Scherler Mayer,Parker Posey|Omar Townsend|Anthony DeSando|See full cast &amp; crew|
188,114194,Gregory Widen,Christopher Walken|Elias Koteas|Virginia Madsen|See full cast &amp; crew|
189,114241,Norman René,Mia Farrow|Tony Goldwyn|Juana Barrios|See full cast &amp; crew|
190,114323,Todd Haynes,Julianne Moore|Xander Berkeley|Dean Norris|See full cast &amp; crew|
191,114345,Roland Joffé,Demi Moore|Gary Oldman|Robert Duvall|See full cast &amp; crew|
193,114436,Paul Verhoeven,Elizabeth Berkley|Kyle MacLachlan|Gina Gershon|See full cast &amp; crew|
194,114478,Wayne Wang,Harvey Keitel|William Hurt|Giancarlo Esposito|See full cast &amp; crew|
195,114496,Lasse Hallström,Julia Roberts|Dennis Quaid|Robert Duvall|See full cast &amp; crew|
196,114508,Roger Donaldson,Natasha Henstridge|Michael Madsen|Ben Kingsley|See full cast &amp; crew|
198,114558,Kathryn Bigelow,Ralph Fiennes|Angela Bassett|Juliette Lewis|See full cast &amp; crew|
199,58450,Jacques Demy,Catherine Deneuve|Nino Castelnuovo|Anne Vernon|See full cast &amp; crew|
201,114663,Martha Coolidge,Patrick Swayze|Mary Elizabeth Mastrantonio|Joseph Mazzello|See full cast &amp; crew|
202,114702,Agnieszka Holland,Leonardo DiCaprio|David Thewlis|Romane Bohringer|See full cast &amp; crew|
203,114682,Beeban Kidron,Wesley Snipes|Patrick Swayze|John Leguizamo|See full cast &amp; crew|
204,114781,Geoff Murphy,Steven Seagal|Eric Bogosian|Everett McGill|See full cast &amp; crew|
205,114798,Diane Keaton,Andie MacDowell|John Turturro|Michael Richards|See full cast &amp; crew|
206,114805,Douglas Keeve,Isaac Mizrahi|Roseanne Barr|Sandra Bernhard|See full cast &amp; crew|
207,114887,Alfonso Arau,Keanu Reeves|Aitana Sánchez-Gijón|Anthony Quinn|See full cast &amp; crew|
208,114898,Kevin Reynolds,Kevin Costner|Jeanne Tripplehorn|Dennis Hopper|See full cast &amp; crew|
209,114928,Desmond Nakano,John Travolta|Harry Belafonte|Kelly Lynch|See full cast &amp; crew|
210,114938,Walter Hill,Jeff Bridges|Ellen Barkin|John Hurt|See full cast &amp; crew|
211,109340,Mike Figgis,Albert Finney|Greta Scacchi|Matthew Modine|See full cast &amp; crew|
212,112602,Greg Beeman,Daniel Stern|Jon Polito|Brad Sullivan|See full cast &amp; crew|
213,111579,Nikita Mikhalkov,Nikita Mikhalkov|Ingeborga Dapkunaite|Oleg Menshikov|See full cast &amp; crew|
214,110882,Milcho Manchevski,Katrin Cartlidge|Rade Serbedzija|Grégoire Colin|See full cast &amp; crew|
215,112471,Richard Linklater,Ethan Hawke|Julie Delpy|Andrea Eckert|See full cast &amp; crew|
216,112508,Tamra Davis,Adam Sandler|Darren McGavin|Bridgette Wilson-Sampras|See full cast &amp; crew|
217,112438,Guy Ferland,Alicia Silverstone|Jeremy London|J.T. Walsh|See full cast &amp; crew|
218,112571,Herbert Ross,Whoopi Goldberg|Mary-Louise Parker|Drew Barrymore|See full cast &amp; crew|
219,112757,Peter Horton,Joseph Mazzello|Brad Renfro|Aeryk Egan|See full cast &amp; crew|
220,112643,Stuart Gordon,Jeffrey Combs|Barbara Crampton|Jonathan Fuller|See full cast &amp; crew|
222,112679,Pat O'Connor,Chris O'Donnell|Minnie Driver|Geraldine O'Rawe|See full cast &amp; crew|
223,109445,Kevin Smith,Brian O'Halloran|Jeff Anderson|Marilyn Ghigliotti|See full cast &amp; crew|
224,112883,Jeremy Leven,Johnny Depp|Marlon Brando|Faye Dunaway|See full cast &amp; crew|
225,109635,Barry Levinson,Michael Douglas|Demi Moore|Donald Sutherland|See full cast &amp; crew|
227,109676,John Badham,Wesley Snipes|Gary Busey|Yancy Butler|See full cast &amp; crew|
228,112854,Jack Baran,Dylan McDermott|Nancy Travis|Quentin Tarantino|See full cast &amp; crew|
229,109579,Roman Polanski,Sigourney Weaver|Ben Kingsley|Stuart Wilson|See full cast &amp; crew|
230,109642,Taylor Hackford,Kathy Bates|Jennifer Jason Leigh|Christopher Plummer|See full cast &amp; crew|
231,109686,Peter Farrelly,Jim Carrey|Jeff Daniels|Lauren Holly|See full cast &amp; crew|
232,111797,Ang Lee,Sihung Lung|Kuei-Mei Yang|Yu-Wen Wang|See full cast &amp; crew|
233,109759,Atom Egoyan,Bruce Greenwood|Elias Koteas|Don McKellar|See full cast &amp; crew|
234,109758,Garry Marshall,Dana Delany|Dan Aykroyd|Rosie O'Donnell|See full cast &amp; crew|
235,109707,Tim Burton,Johnny Depp|Martin Landau|Sarah Jessica Parker|See full cast &amp; crew|
236,113117,Lawrence Kasdan,Meg Ryan|Kevin Kline|Timothy Hutton|See full cast &amp; crew|
237,113097,Billy Crystal,Billy Crystal|Debra Winger|Joe Mantegna|See full cast &amp; crew|
238,113028,Phillip Borsos,Jesse Bradford|Mimi Rogers|Bruce Davison|See full cast &amp; crew|
239,113198,Kevin Lima,Bill Farmer|Jason Marsden|Jim Cummings|See full cast &amp; crew|
240,113303,Brett Leonard,Jeff Goldblum|Christine Lahti|Alicia Silverstone|See full cast &amp; crew|
241,113089,Carlo Carlei,Matthew Modine|Nancy Travis|Samuel L. Jackson|See full cast &amp; crew|
242,109771,Gérard Corbiau,Stefano Dionisi|Enrico Lo Verso|Elsa Zylberstein|See full cast &amp; crew|
243,113199,Mark Lewis,Kristy Young|Doug Stone|James Donadio|See full cast &amp; crew|
246,110057,Steve James,William Gates|Arthur Agee|Emma Gates|See full cast &amp; crew|
247,110005,Peter Jackson,Melanie Lynskey|Kate Winslet|Sarah Peirse|See full cast &amp; crew|
248,110066,Randall Miller,Sinbad|Phil Hartman|Kim Greist|See full cast &amp; crew|
249,110116,Bernard Rose,Gary Oldman|Jeroen Krabbé|Isabella Rossellini|See full cast &amp; crew|
250,110006,Steven Brill,Tom McGowan|Aaron Schwartz|Ben Stiller|See full cast &amp; crew|
251,113360,J.F. Lawton,Christopher Lambert|John Lone|Joan Chen|See full cast &amp; crew|
252,110099,Fred Schepisi,Tim Robbins|Meg Ryan|Walter Matthau|See full cast &amp; crew|
253,110148,Neil Jordan,Brad Pitt|Tom Cruise|Antonio Banderas|See full cast &amp; crew|
254,113463,James Ivory,Nick Nolte|Greta Scacchi|Gwyneth Paltrow|See full cast &amp; crew|
255,110189,James Melkonian,John G. Brennan|Kamal Ahmed|Alan Arkin|See full cast &amp; crew|
256,110216,Ivan Reitman,Arnold Schwarzenegger|Danny DeVito|Emma Thompson|See full cast &amp; crew|
257,113501,Arne Glimcher,Sean Connery|Laurence Fishburne|Kate Capshaw|See full cast &amp; crew|
258,113538,Michael Gottlieb,Thomas Ian Nicholas|Joss Ackland|Art Malik|See full cast &amp; crew|
259,113552,Barbet Schroeder,David Caruso|Samuel L. Jackson|Nicolas Cage|See full cast &amp; crew|
260,76759,George Lucas,Mark Hamill|Harrison Ford|Carrie Fisher|See full cast &amp; crew|
261,110367,Gillian Armstrong,Susan Sarandon|Winona Ryder|Kirsten Dunst|See full cast &amp; crew|
262,113670,Alfonso Cuarón,Liesel Matthews|Eleanor Bron|Liam Cunningham|See full cast &amp; crew|
263,110296,Ken Loach,Crissy Rock|Vladimir Vega|Sandie Lavelle|See full cast &amp; crew|
265,103994,Alfonso Arau,Marco Leonardi|Lumi Cavazos|Regina Torné|See full cast &amp; crew|
266,110322,Edward Zwick,Brad Pitt|Anthony Hopkins|Aidan Quinn|See full cast &amp; crew|
267,110443,Nick Castle,Damon Wayans|Michael Ironside|Bam Bam Bigelow|See full cast &amp; crew|
269,107566,Allison Anders,Angel Aviles|Seidy Lopez|Jacob Vargas|See full cast &amp; crew|
270,110391,Glenn Gordon Caron,Warren Beatty|Annette Bening|Katharine Hepburn|See full cast &amp; crew|
271,113691,Stephen Gyllenhaal,Jessica Lange|Halle Berry|David Strathairn|See full cast &amp; crew|
272,110428,Nicholas Hytner,Nigel Hawthorne|Helen Mirren|Rupert Graves|See full cast &amp; crew|
273,109836,Kenneth Branagh,Robert De Niro|Kenneth Branagh|Helena Bonham Carter|See full cast &amp; crew|
274,113755,James Orr,Chevy Chase|Farrah Fawcett|Jonathan Taylor Thomas|See full cast &amp; crew|
275,110538,Nora Ephron,Steve Martin|Madeline Kahn|Robert Klein|See full cast &amp; crew|
276,110516,Richard Benjamin,Melanie Griffith|Ed Harris|Michael Patrick Carter|See full cast &amp; crew|
277,110527,Les Mayfield,Richard Attenborough|Elizabeth Perkins|Dylan McDermott|See full cast &amp; crew|
278,113808,David Frankel,Sarah Jessica Parker|Mia Farrow|Antonio Banderas|See full cast &amp; crew|
279,113896,Gregory Nava,Jimmy Smits|Esai Morales|Edward James Olmos|See full cast &amp; crew|
280,113870,Marc Rocco,Christian Slater|Kevin Bacon|Gary Oldman|See full cast &amp; crew|
281,110684,Robert Benton,Paul Newman|Bruce Willis|Jessica Tandy|See full cast &amp; crew|
282,110638,Michael Apted,Jodie Foster|Liam Neeson|Natasha Richardson|See full cast &amp; crew|
283,113967,Nick Gomez,Shar-Ron Corley|Gabriel Casseus|Saul Stein|See full cast &amp; crew|
284,117169,Tôru Murakawa,Tôru Nakamura|Chad McQueen|Mira Sorvino|See full cast &amp; crew|
285,106402,Vadim Jean,Craig Fairbrass|Elizabeth Hurley|Keith Allen|See full cast &amp; crew|
287,110671,Alan Jacobs,Laura San Giacomo|Paul Rhys|Michael O'Keefe|See full cast &amp; crew|
288,110632,Oliver Stone,Woody Harrelson|Juliette Lewis|Tom Sizemore|See full cast &amp; crew|
289,110737,Norman Jewison,Marisa Tomei|Robert Downey Jr.|Bonnie Hunt|See full cast &amp; crew|
290,110729,Lee Tamahori,Rena Owen|Temuera Morrison|Mamaengaroa Kerr-Bell|See full cast &amp; crew|
291,114151,Anne Goursaud,Alyssa Milano|Johnathon Schaech|Xander Berkeley|See full cast &amp; crew|
292,114069,Wolfgang Petersen,Dustin Hoffman|Rene Russo|Morgan Freeman|See full cast &amp; crew|
293,110413,Luc Besson,Jean Reno|Gary Oldman|Natalie Portman|See full cast &amp; crew|
294,114113,Mira Nair,Marisa Tomei|Anjelica Huston|Alfred Molina|See full cast &amp; crew|
295,114210,Joshua Brand,William Baldwin|John Leguizamo|Sadie Frost|See full cast &amp; crew|
296,110912,Quentin Tarantino,John Travolta|Uma Thurman|Samuel L. Jackson|See full cast &amp; crew|
298,105652,Ang Lee,Sihung Lung|Lai Wang|Bozhao Wang|See full cast &amp; crew|
299,110889,Antonia Bird,Linus Roache|Tom Wilkinson|Robert Carlyle|See full cast &amp; crew|
300,110932,Robert Redford,Ralph Fiennes|John Turturro|Rob Morrow|See full cast &amp; crew|
301,114129,Kayo Hatta,Yûki Kudô|Akira Takayama|Cary-Hiroyuki Tagawa|See full cast &amp; crew|
302,110963,Patrice Chéreau,Isabelle Adjani|Daniel Auteuil|Jean-Hugues Anglade|See full cast &amp; crew|
303,114214,Sam Raimi,Sharon Stone|Gene Hackman|Russell Crowe|See full cast &amp; crew|
304,114296,Peter Yates,Peter Falk|D.B. Sweeney|Julianne Moore|See full cast &amp; crew|
305,110907,Robert Altman,Sophia Loren|Julia Roberts|Marcello Mastroianni|See full cast &amp; crew|
306,111495,Krzysztof Kieslowski,Irène Jacob|Jean-Louis Trintignant|Frédérique Feder|See full cast &amp; crew|
307,108394,Krzysztof Kieslowski,Juliette Binoche|Zbigniew Zamachowski|Julie Delpy|See full cast &amp; crew|
308,111507,Krzysztof Kieslowski,Zbigniew Zamachowski|Julie Delpy|Janusz Gajos|See full cast &amp; crew|
